"","chr","coord","pwm","shape","score"
"1","chr10",4123452,12.1263637542725,1.25582945346832,1.38888265449527
"2","chr10",28015588,8.16388416290283,1.41597104072571,1.41812957368964
"3","chr10",75764410,12.1623401641846,2.12821865081787,2.36233308732321
"4","chr10",80826511,9.637939453125,2.45030927658081,2.47921695619642
"5","chr10",34228361,8.49437618255615,1.16443073749542,1.16658927045936
"6","chr10",95332562,11.1828641891479,1.04291450977325,1.07182218938887
"7","chr10",95326639,12.3972606658936,0.982345163822174,1.21823814036886
"8","chr10",81648997,12.1790075302124,1.37019312381744,1.60430756032279
"9","chr10",52417516,11.6616973876953,1.08217895030975,1.19904173790692
"10","chr10",109011040,10.960391998291,1.07487320899963,1.10378088861525
"11","chr10",130542268,11.6150722503662,1.78800189495087,1.90486468254803
"12","chr10",19016122,6.10905170440674,1.60582637786865,1.58676172787096
"13","chr10",108285123,11.4067134857178,1.30971920490265,1.36768053935663
"14","chr10",69352983,11.4458999633789,1.98764562606812,2.07844019909025
"15","chr10",78428193,11.8169431686401,1.07797563076019,1.21102883178714
"16","chr10",81167899,9.3242015838623,2.26180934906006,2.28546993788652
"17","chr10",126978621,10.6549310684204,1.81699800491333,1.84590568452894
"18","chr10",82083255,11.4569034576416,1.57165765762329,1.66245223064543
"19","chr10",80329923,9.92866706848145,2.59064102172852,2.61954870134413
"20","chr10",95453219,11.413387298584,1.51321566104889,1.57117699550287
"21","chr10",35154094,9.30648136138916,1.04411482810974,1.0677754169362
"22","chr10",81350657,10.6380748748779,1.89184236526489,1.92075004488051
"23","chr10",8881104,9.28791236877441,1.09480774402618,1.11846833285264
"24","chr10",89443975,11.179271697998,1.65829801559448,1.6872056952101
"25","chr10",78067409,10.68141746521,1.01140916347504,1.04031684309065
"26","chr10",80620076,11.6016130447388,1.45029199123383,1.56715477883099
"27","chr10",39633444,7.08294343948364,1.0895471572876,1.0895471572876
"28","chr10",80115591,10.4047842025757,1.93011689186096,1.95902457147658
